"Chord","Key Strokes"
"   O ROOO","m"
"   O MOOO","t"
"   O LOOO","r"
"   O OROO","l"
"   O RROO","<Backspace>"
"   O MROO","v"
"   O OMOO","n"
"   O LMOO","z"
"   O OLOO","h"
"   O MLOO","c"
"   O OORO","i"
"   O MORO","y"
"   O OOMO","e"
"   O ROMO","x"
"   O MOMO","p"
"   O LOMO","b"
"   O OMMO","<CapsLock>"
"   O OLMO","k"
"   O OOLO","o"
"   O MOLO","g"
"   O LOLO","w"
"   O MLLO","qu"
"   O OOOR","a"
"   O MOOR","j"
"   O OMOR","<Return>"
"   O OOOM"," "
"   O OOOL","u"
"   O MOOL","q"
